Date,equipe1,score,equipe2
02/04/2023,Villarreal CF (6),2 - 0,Real Sociedad San-Sebastian (4)
08/04/2023,Real Sociedad San-Sebastian (4),2 - 0,Getafe CF (15)
15/04/2023,Athletic Bilbao (7),2 - 0,Real Sociedad San-Sebastian (4)
22/04/2023,Real Sociedad San-Sebastian (4),2 - 1,Rayo Vallecano (9)
25/04/2023,Real Betis Balompié Séville (6),0 - 0,Real Sociedad San-Sebastian (4)
28/04/2023,Osasuna Pampelune (9),0 - 2,Real Sociedad San-Sebastian (4)
02/05/2023,Real Sociedad San-Sebastian (4),2 - 0,Real Madrid (3)
13/05/2023,Real Sociedad San-Sebastian (4),2 - 2,Girona FC (7)
20/05/2023,FC Barcelone,1 - 2,Real Sociedad San-Sebastian
23/05/2023,Real Sociedad San-Sebastian (4),1 - 0,UD Almería (15)
28/05/2023,Atlético Madrid,2 - 1,Real Sociedad San-Sebastian
04/06/2023,Real Sociedad San-Sebastian (4),2 - 1,FC Séville (11)
09/03/2023,AS Rome (ITA),2 - 0,Real Sociedad San-Sebastian
16/03/2023,Real Sociedad San-Sebastian,0 - 0,AS Rome (ITA)
08/09/2022,Manchester United (ANG) (2),0 - 1,Real Sociedad San-Sebastian (1)
15/09/2022,Real Sociedad San-Sebastian (1),2 - 1,Omonia Nicosie (CHY) (4)
06/10/2022,FC Sheriff Tiraspol (MDA) (3),0 - 2,Real Sociedad San-Sebastian (1)
13/10/2022,Real Sociedad San-Sebastian (1),3 - 0,FC Sheriff Tiraspol (MDA) (3)
27/10/2022,Omonia Nicosie (CHY) (4),0 - 2,Real Sociedad San-Sebastian (1)
03/11/2022,Real Sociedad San-Sebastian (1),0 - 1,Manchester United (ANG) (2)
13/11/2022,CD Cazalegas (ESP),1 - 4,Real Sociedad San-Sebastian
21/12/2022,CD Coria (ESP),0 - 5,Real Sociedad San-Sebastian
04/01/2023,UD Logroñés (ESP),0 - 1,Real Sociedad San-Sebastian
17/01/2023,Real Sociedad San-Sebastian,1 - 0,Real Majorque (ESP)
25/01/2023,FC Barcelone (ESP),1 - 0,Real Sociedad San-Sebastian
